difficulty, workers, result, time
11,7,694,29.836779594421387
24,5,2578596442,54.47032594680786
30,1,346714796,3196.8948209285736
8,15,1145324993,32.42904853820801
12,16,1879060099,33.021366119384766
1,15,286331153,35.006186962127686
4,6,0,27.613816499710083
26,18,1914776891,91.31466627120972
24,15,574062209,55.67938780784607
10,3,289498522,2.6053378582000732
15,10,2577215545,31.691265106201172
4,2,2147483655,29.17813277244568
22,13,3304469348,46.03711175918579
21,12,1984559428,7.651808738708496
9,13,3634203167,29.671318292617798
5,6,3579139414,33.303730726242065
3,16,1610612750,28.97266387939453
27,8,1080931621,113.5925657749176
7,15,3722304998,30.881036043167114
24,18,3579807234,46.65203785896301
21,20,1195519853,12.2007417678833
19,13,660863894,36.92176270484924
18,4,137342,40.065402030944824
2,9,2147573155,5.6483519077301025
1,7,0,28.90041995048523
10,14,1840700270,8.592171907424927
5,17,2021161106,29.885518312454224
2,9,0,35.05485510826111
5,20,54,32.47412395477295
12,3,2863315014,33.258212089538574
14,13,2670,28.51498770713806
24,12,3579807234,66.46822595596313
24,11,720315402,7.28370213508606
1,6,2147483647,32.08189606666565
21,9,954998293,37.17575192451477
7,9,3340693703,6.36127233505249
22,5,859816805,45.46344447135925
9,9,2578596442,5.620035648345947
14,18,1431659729,35.41493582725525
24,18,2386828422,51.49157500267029
15,18,1195519853,12.306692600250244
29,20,468323485,402.91829085350037
2,10,1717986917,29.064724683761597
20,12,2147573155,32.84183931350708
10,12,716489327,7.685546875
5,4,54,36.49823069572449
7,13,2147483655,7.67501163482666
12,9,3340534530,33.7886381149292
4,18,954437207,31.933900117874146
10,18,477219126,35.50656723976135
10,5,3435975753,33.74468493461609
9,5,694,29.891244888305664
9,8,2147483695,35.71795845031738
4,14,0,35.21058964729309
20,7,1841234538,38.02418041229248
19,10,1227358194,6.983234405517578
17,8,137342,32.917628049850464
25,5,3443454685,109.57767248153687
7,8,311,31.69472622871399
2,5,2576980380,27.849117040634155
20,15,286460006,40.037644147872925
9,4,1719080137,3.1075077056884766
15,1,89253,38.780569553375244
16,6,715904100,29.46566414833069
25,1,30074393,374.49776577949524
17,11,1952300450,32.184117794036865
23,11,1171659033,36.00032567977905
24,13,3635304418,49.14458107948303
29,17,3304469348,11.29616093635559
22,4,1027827,45.31494212150574
28,15,43983181,524.7636651992798
2,14,1840700273,28.725693225860596
16,17,133050,33.31138849258423
15,7,2454279170,32.51751708984375
22,19,226180778,35.11381936073303
18,20,1027827,13.623630285263062
23,9,2386828422,42.20059895515442
13,7,2864161208,4.625693321228027
4,4,0,33.293904066085815
25,14,928515223,114.30851650238037
15,9,2462536703,5.433218240737915
30,17,346714796,1066.7558376789093
10,2,2147483695,38.723310708999634
4,2,2147483655,34.15373182296753
7,4,3221225510,34.348594427108765
15,10,858997016,31.60200810432434
15,4,3865624725,3.1108765602111816
29,7,2475683680,258.2807893753052
26,19,2260886850,46.19810652732849
25,6,722188712,98.31845092773438
24,6,3579807234,67.54202914237976
20,6,720315402,4.196828842163086
14,14,920368151,34.35264253616333
4,10,429496759,32.69117593765259
1,13,0,31.597992181777954
3,8,1610612750,31.101401805877686
23,1,11554918,154.878977060318
22,8,1027827,48.90814566612244
17,19,678234395,32.4571053981781
11,18,3391294933,11.66080117225647
24,18,2386828422,53.242457151412964
9,3,720315402,2.4406025409698486
19,18,239487911,39.385234117507935
28,18,716489327,11.753539562225342
17,11,1952300450,32.01426362991333
11,9,1431655955,37.53549766540527
24,6,3579807234,37.57015585899353
14,2,2147493154,35.59233474731445
20,18,2624730529,37.41384148597717
14,2,480362480,1.9389851093292236
14,8,2670,29.39815664291382
